price,make,model,year,mileage,display_color,vin,dealer_name,state,trim,body_style,condition,city
31826,Ford,F150,2012,85721 ,Black,1FTFW1C6XCFB62072,Northwest Motorsport - Puyallup,WA,Harley-Davidson,truck,used,Puyallup
10000,Chevrolet,Cruze,2012,100085 ,Summit White,1G1PL5SC7C7162108,Camelback Toyota,AZ,LT,sedan,used,Phoenix
15000,Audi,Q7,2012,106300 ,Gray,WA1LGAFE8CD004614,Napleton's River Oaks Honda,IL,3.0T quattro Premium Plus,suv,used,Lansing
13999,Dodge,Charger,2012,95444 ,Redline 3 Pearl Coat,2C3CDXBG5CH213602,Texas Direct Auto,TX,SE,sedan,used,Stafford
16495,Chevrolet,Avalanche,2012,146183 ,White,3GNTKFE79CG162670,City Auto Sales LLC,OR,LT,truck,used,Hermiston
15998,Cadillac,CTS,2012,97974 ,Pearl,1G6DC5E57C0101098,CarMax Greensboro - Now offering Curbside Pickup and Home Delivery,NC,3.0L,sedan,used,Greensboro
9650,Kia,Sorento,2012,137792 ,Ebony Black,5XYKT3A68CG267129,Rydell Chevrolet Waterloo,IA,LX,suv,used,Waterloo
18998,Mercedes-Benz,CClass,2012,69430 ,Silver,WDDGF8BB5CR229595,CarMax Laurel - Now offering Curbside Pickup,MD,C 300 Sport 4MATIC,sedan,used,Laurel
36400,Ford,F250 Super Duty,2012,135638 ,Oxford White,1FT7W2BT0CEA18831,Ken Garff Ford American Fork,UT,XL,truck,used,American Fork
11500,Kia,Sorento,2012,120857 ,Bright Silver,5XYKWDA26CG267494,Mark Sweeney Buick GMC,OH,SX,suv,used,Cincinnati
16499,Lexus,IS 250,2012,54667 ,GREY,JTHBF5C2XC5168848,California Motor Trend 2,CA,Base,sedan,used,Azusa
33999,Ford,Mustang,2012,29633 ,Race Red,1ZVBP8CU4C5261900,Texas Direct Auto,TX,Boss 302,coupe,used,Stafford
20998,Honda,Odyssey,2012,55037 ,Silver,5FNRL5H41CB112198,CarMax Buena Park - Now offering Curbside Pickup and Home Delivery,CA,EX,minivan,used,Buena Park
17658,GMC,Yukon XL,2012,145274 ,Brown,1GKS2KE75CR118098,Dewey Auto Outlet,IA,SLT 1500,suv,used,Des Moines
27491,Ford,F250 Super Duty,2012,105850 ,Oxford White,1FT7W2B65CEA49485,Principle Toyota,TN,XLT,truck,used,Memphis
10990,Honda,Fit,2012,82491 ,Polished Metal Metallic,JHMGE8H5XCC018196,Autoshow Sales & Service,FL,Sport,hatchback,used,Plantation
25499,Jeep,Wrangler Unlimited,2012,88218 ,Orange,1C4BJWDG7CL229133,Texas Direct Auto,TX,Sport,suv,used,Stafford
15999,Toyota,Prius,2012,64439 ,Sea Glass Pearl,JTDKN3DU2C5512939,IE Motors Direct,CA,Three,hatchback,used,Montclair
2800,chevrolet,cruze,2012,61258,white,  1g1pl5sc7c7367895,167723306,IL,N/A,N/A,used,N/A
6700,nissan,xterra,2012,92982,black,  5n1an0nu7cc517019,167751124,GA,N/A,N/A,used,N/A
3000,ford,van,2012,137171,white,  nm0ls7bn3ct082251,167496237,MO,N/A,N/A,used,N/A
1880,heartland,trail,2012,1,white,  5sfnb2425ce237109,167266201,PA,N/A,N/A,used,N/A
26400,ford,cab,2012,151035,white,  1fduf5gt0ceb55163,167781136,WI,N/A,N/A,used,N/A
13000,ford,cab,2012,201187,white,  1fduf5gt3cea67577,167598719,TX,N/A,N/A,used,N/A
8500,ford,drw,2012,216942,white,  1fdrf3ht6cea87430,167771079,TX,N/A,N/A,used,N/A
800,dodge,van,2012,217576,orange,  2c4rdgbg1cr183286,167619888,north carolina,N/A,N/A,used,N/A
100,peterbilt,truck,2012,0,blue,  1xp4d49x1cd144875,167529787,FL,N/A,N/A,used,N/A
20000,ford,dr,2012,24581,no_color,  3frxw7fe4cv310949,167530331,CA,N/A,N/A,used,N/A
475,peterbilt,truck,2012,902041,gold,  1xp4d49x9cd123630,167529786,FL,N/A,N/A,used,N/A
